对象ID,校区,业务,楼栋ID,楼栋名称,现网IP前缀,现网VLAN,现网SVI,目标IP前缀,目标VLAN,目标SVI,DHCP配置,端口编号,Trunk配置,认证方式,安全策略,路由所有权,IPv6配置,迁移批次,验证项,回退编号,证据来源,确认状态,责任人
IPAM-001,东校区,教师有线,0,行政楼,10.10.0.0/21,100,10.10.0.1,10.11.0.0/21,101,10.11.0.1,启用-DHCP服务器,Gi1/0/1-24,Trunk允许VLAN101,Portal,ACL-101,东校区核心,fd00:11::/64,1,连通性测试-DHCP分配测试,RB-001,现场配置文件,已核实,网络管理员
IPAM-002,东校区,教师无线,0,行政楼,10.10.8.0/21,102,10.10.8.1,10.12.0.0/21,102,10.12.0.1,启用-DHCP中继,Gi1/0/25-48,Trunk允许VLAN102,802.1X,ACL-102,东校区核心,fd00:12::/64,1,认证测试-漫游测试,RB-002,无线控制器配置,已核实,无线管理员
IPAM-003,东校区,学生有线,1,学生宿舍1栋,10.10.16.0/21,103,10.10.16.1,10.13.8.0/21,103,10.13.8.1,启用-DHCP服务器,Gi2/0/1-48,Trunk允许VLAN103,Portal,ACL-103,东校区核心,fd00:13::/64,2,连通性测试-带宽限制测试,RB-003,资产管理表,待确认,宿舍网络管理
IPAM-004,东校区,学生无线,1,学生宿舍1栋,10.10.24.0/21,104,10.10.24.1,10.14.8.0/21,104,10.14.8.1,启用-DHCP中继,Gi2/1/1-24,Trunk允许VLAN104,Portal,ACL-104,东校区核心,fd00:14::/64,2,认证测试-并发连接测试,RB-004,无线控制器配置,待确认,无线管理员
IPAM-005,东校区,访客无线,0,行政楼,10.10.32.0/21,107,10.10.32.1,10.17.0.0/21,107,10.17.0.1,启用-DHCP服务器,Gi1/0/25-48,Trunk允许VLAN107,None,ACL-107隔离,东校区核心,无,3,隔离测试-互联网访问测试,RB-005,安全策略文档,已核实,安全管理员
IPAM-006,东校区,设备管理,0,行政楼,10.10.40.0/21,108,10.10.40.1,10.18.0.0/21,108,10.18.0.1,禁用-静态IP,Gi1/0/1-12,Access VLAN108,None,ACL-108管理,东校区核心,fd00:18::/64,1,SSH访问测试-SNMP测试,RB-006,设备清单,已核实,网络管理员
IPAM-007,东校区,教师有线,2,教学楼A栋,10.10.48.0/21,100,10.10.0.1,10.11.16.0/21,101,10.11.0.1,启用-DHCP服务器,Gi3/0/1-48,Trunk允许VLAN101,Portal,ACL-101,东校区核心,fd00:11::/64,1,连通性测试-DHCP分配测试,RB-007,现场配置文件,已核实,网络管理员
IPAM-008,东校区,教师无线,2,教学楼A栋,10.10.56.0/21,102,10.10.8.1,10.12.16.0/21,102,10.12.0.1,启用-DHCP中继,Gi3/0/1-24,Trunk允许VLAN102,802.1X,ACL-102,东校区核心,fd00:12::/64,1,认证测试-漫游测试,RB-008,无线控制器配置,已核实,无线管理员
IPAM-009,东校区,学生有线,3,实验楼,10.10.64.0/21,103,10.10.16.1,10.13.24.0/21,103,10.13.8.1,启用-DHCP服务器,Gi4/0/1-48,Trunk允许VLAN103,Portal,ACL-103,东校区核心,fd00:13::/64,2,连通性测试-实验环境测试,RB-009,实验室资产表,待确认,实验室管理
IPAM-010,东校区,互联网出口,99,核心机房,10.10.248.0/24,199,10.10.248.1,10.16.248.0/24,166,10.16.248.1,禁用-静态IP,Gi0/0/1-2,Trunk允许所有VLAN,None,ACL-199边界,东校区核心,fd00:99::/64,5,边界路由测试-NAT测试,RB-010,ISP配置文档,已批准,网络主管
IPAM-011,西校区,教师有线,0,办公楼,10.20.0.0/21,200,10.20.0.1,10.21.0.0/21,201,10.21.0.1,启用-DHCP服务器,Gi1/0/1-24,Trunk允许VLAN201,Portal,ACL-201,西校区核心,fd00:21::/64,1,连通性测试-DHCP分配测试,RB-011,现场配置文件,已核实,网络管理员
IPAM-012,西校区,教师无线,0,办公楼,10.20.8.0/21,202,10.20.8.1,10.22.0.0/21,202,10.22.0.1,启用-DHCP中继,Gi1/0/25-48,Trunk允许VLAN202,802.1X,ACL-202,西校区核心,fd00:22::/64,1,认证测试-漫游测试,RB-012,无线控制器配置,已核实,无线管理员
IPAM-013,西校区,学生有线,1,学生宿舍A栋,10.20.16.0/21,203,10.20.16.1,10.23.8.0/21,203,10.23.8.1,启用-DHCP服务器,Gi2/0/1-48,Trunk允许VLAN203,Portal,ACL-203,西校区核心,fd00:23::/64,2,连通性测试-带宽限制测试,RB-013,资产管理表,待确认,宿舍网络管理
IPAM-014,西校区,学生无线,1,学生宿舍A栋,10.20.24.0/21,204,10.20.24.1,10.24.8.0/21,204,10.24.8.1,启用-DHCP中继,Gi2/1/1-24,Trunk允许VLAN204,Portal,ACL-204,西校区核心,fd00:24::/64,2,认证测试-并发连接测试,RB-014,无线控制器配置,待确认,无线管理员
IPAM-015,西校区,访客无线,0,办公楼,10.20.32.0/21,207,10.20.32.1,10.27.0.0/21,207,10.27.0.1,启用-DHCP服务器,Gi1/0/25-48,Trunk允许VLAN207,None,ACL-207隔离,西校区核心,无,3,隔离测试-互联网访问测试,RB-015,安全策略文档,已核实,安全管理员
IPAM-016,西校区,设备管理,0,办公楼,10.20.40.0/21,208,10.20.40.1,10.28.0.0/21,208,10.28.0.1,禁用-静态IP,Gi1/0/1-12,Access VLAN208,None,ACL-208管理,西校区核心,fd00:28::/64,1,SSH访问测试-SNMP测试,RB-016,设备清单,已核实,网络管理员
IPAM-017,西校区,教师有线,2,教学楼B栋,10.20.48.0/21,200,10.20.0.1,10.21.16.0/21,201,10.21.0.1,启用-DHCP服务器,Gi3/0/1-48,Trunk允许VLAN201,Portal,ACL-201,西校区核心,fd00:21::/64,1,连通性测试-DHCP分配测试,RB-017,现场配置文件,已核实,网络管理员
IPAM-018,西校区,学生有线,2,学生宿舍B栋,10.20.56.0/21,203,10.20.16.1,10.23.16.0/21,203,10.23.8.1,启用-DHCP服务器,Gi4/0/1-48,Trunk允许VLAN203,Portal,ACL-203,西校区核心,fd00:23::/64,2,连通性测试-带宽限制测试,RB-018,资产管理表,待确认,宿舍网络管理
IPAM-019,西校区,互联网出口,99,核心机房,10.20.248.0/24,299,10.20.248.1,10.26.248.0/24,266,10.26.248.1,禁用-静态IP,Gi0/0/1-2,Trunk允许所有VLAN,None,ACL-299边界,西校区核心,fd00:99::/64,5,边界路由测试-NAT测试,RB-019,ISP配置文档,已批准,网络主管
